Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-11-06 16:16:43,false,"Easy Run","12.23","541","00:59:49","124","138","3.3","166","176","4:54","4:02","36","35","1.23","8.9","10.9","252","4:54","237","0.0","236","301","9,894","-14","No","00:01:04.8","13","00:59:47","01:01:47","192","208"
Running,2025-11-04 16:00:12,false,"4km + 10x600m p.2' + 2km","15.61","708","01:14:46","133","162","3.8","158","209","4:47","3:15","62","36","1.29","8.4","10.6","242","4:45","250","0.0","232","368","12,056","-18","No","00:00:02.7","28","01:13:21","01:26:04","185","204"
Running,2025-11-02 08:29:18,false,"Easy Run","14.27","667","01:08:59","137","153","3.7","168","179","4:50","4:08","82","76","1.23","8.7","10.8","249","4:50","237","0.0","236","283","11,508","-18","No","00:01:17.1","15","01:08:54","01:09:52","160","207"
Running,2025-11-01 10:15:01,false,"3km + 8x1km p.2' + p.3' + 5x200m + 2km","18.25","830","01:25:15","143","168","4.4","159","190","4:40","2:58","38","22","1.33","8.1","10.5","235","4:37","260","0.0","242","400","13,826","-22","No","00:00:05.9","33","01:24:01","01:33:38","189","208"
Running,2025-10-30 16:04:08,false,"Easy Run","12.27","516","01:00:25","119","129","3.1","167","177","4:55","4:21","74","69","1.21","8.8","10.7","251","4:55","242","0.0","239","318","10,024","-15","No","00:01:18.6","13","01:00:20","01:01:55","189","208"
Running,2025-10-28 15:42:42,false,"3km + BC 8km + 3km","14.22","647","01:04:38","146","161","4.2","169","178","4:33","3:34","63","39","1.29","8.3","10.7","240","4:34","257","0.0","253","361","10,852","-15","No","00:00:07.9","16","01:04:24","01:15:03","189","207"
Running,2025-10-26 14:17:51,false,"Easy Run","14.14","599","01:08:42","126","155","3.3","166","177","4:52","4:13","66","45","1.23","8.7","10.7","249","4:52","240","0.0","240","364","11,414","-16","No","00:00:36.8","15","01:08:30","01:17:23","190","208"
Running,2025-10-25 10:36:39,false,"4km + 14x600m p.1:45' + 2km","18.81","887","01:30:22","145","164","4.5","159","180","4:48","3:14","73","55","1.30","8.3","10.6","240","4:45","260","0.0","241","401","14,642","-24","No","00:00:06.8","36","01:27:54","01:42:25","192","208"
Running,2025-10-23 16:40:39,false,"Easy Run","12.08","490","00:59:14","119","149","3.0","166","177","4:54","3:31","43","32","1.22","8.8","10.8","252","4:55","238","0.0","236","308","9,782","-12","No","00:00:21.0","13","00:59:06","01:01:33","192","208"
Running,2025-10-21 16:36:41,false,"3km + 8x1km p.1:30' + 2km","15.29","693","01:11:39","142","164","4.1","164","188","4:41","3:25","63","45","1.30","8.4","10.7","241","4:40","257","0.0","248","364","11,738","-15","No","00:00:06.9","22","01:10:48","01:22:39","188","208"
Running,2025-10-19 12:30:21,false,"Easy Run","14.01","679","01:07:56","105","144","2.0","167","177","4:51","3:59","74","52","1.23","8.7","10.7","249","4:51","235","0.0","235","316","11,282","--","No","00:00:02.9","15","01:07:50","01:18:25","185","206"
Running,2025-10-17 16:48:16,false,"3km + 10x800m p.2' + 2km","16.13","748","01:17:57","144","176","4.3","159","206","4:50","3:25","52","28","1.28","8.2","10.2","239","4:48","250","0.0","230","349","12,710","-18","No","00:00:10.5","26","01:16:48","01:29:13","184","206"
Running,2025-10-15 17:45:23,false,"8km + 10x20"/40" + 2km","12.19","594","01:00:53","76","84","1.9","166","188","4:59","2:49","38","27","1.21","8.8","10.5","251","4:58","229","0.0","226","391","10,038","--","No","00:00:10.8","31","01:00:46","01:03:15","189","208"
Running,2025-10-14 16:51:25,false,"Easy Run","10.02","488","00:50:18","146","159","3.6","168","179","5:01","4:38","37","27","1.19","8.9","10.6","252","5:01","229","0.0","228","268","8,366","-10","No","00:00:05.1","11","00:50:15","00:50:33","187","208"
Running,2025-10-12 11:57:04,false,"Kraków Bieganie","2.07","88","00:10:58","122","145","1.9","164","175","5:18","4:46","6","1","1.12","9.1","10.2","256","5:22","204","0.0","207","264","1,818","-2","No","00:00:19.7","3","00:10:53","00:14:13","194","201"
Running,2025-10-12 10:00:25,false,"Cracovia Półmaraton","21.24","986","01:27:41","168","178","5.0","171","181","4:08","3:40","73","71","1.41","7.8","11.0","229","4:07","283","0.0","280","351","14,860","-27","No","00:01:00.2","22","01:27:37","01:27:41","197","214"
Running,2025-10-12 09:31:56,false,"Kraków Bieganie","2.02","96","00:11:23","130","149","2.1","155","218","5:38","3:10","5","--","1.12","9.0","9.8","256","5:37","219","0.0","209","375","1,816","-4","No","00:00:08.1","3","00:11:12","00:15:31","197","203"
Running,2025-10-11 09:17:59,false,"Easy Run","6.04","279","00:29:21","140","156","3.1","169","177","4:52","3:46","22","20","1.22","8.7","10.6","249","4:51","243","0.0","241","321","4,922","-9","No","00:00:09.1","7","00:29:20","00:29:24","194","208"
Running,2025-10-09 17:12:05,false,"4km + 8x1'/1' + 2km","10.03","470","00:47:59","146","162","3.6","164","181","4:47","3:15","34","17","1.26","8.4","10.5","243","4:44","241","0.0","235","335","7,918","-10","No","00:00:07.3","23","00:47:54","00:57:05","186","205"
Running,2025-10-07 16:51:33,false,"Easy Run","14.20","659","01:09:17","144","163","3.7","168","178","4:53","3:57","74","51","1.21","8.6","10.5","247","4:53","232","0.0","231","315","11,606","-13","No","00:00:59.3","15","01:09:08","01:15:21","180","208"
Running,2025-10-05 08:24:34,false,"4km + 2x6x500m p.1:30'/3' + 2km","16.02","754","01:20:46","143","176","4.2","161","222","5:02","3:12","148","131","1.22","8.3","9.8","239","4:59","242","0.0","223","377","13,218","-21","No","00:00:06.3","32","01:19:20","01:35:51","1,417","1,554"
Running,2025-10-04 07:59:41,false,"Easy Run","12.01","522","01:02:56","129","157","3.1","169","190","5:14","3:42","208","157","1.11","8.7","9.7","249","5:10","219","0.0","217","324","10,750","-18","No","00:00:03.4","13","01:02:38","01:14:42","1,384","1,554"
Running,2025-10-02 07:44:57,false,"3km + 5x1.5km p. 1:45' + 2km","15.54","692","01:14:41","141","163","4.0","164","236","4:48","3:25","168","123","1.23","8.3","10.1","240","4:46","241","0.0","232","343","12,520","-20","No","00:00:05.4","23","01:13:54","01:34:50","1,415","1,554"
Running,2025-09-30 16:44:49,false,"Easy Run","14.25","650","01:09:50","141","152","3.8","171","181","4:54","3:48","78","49","1.18","8.5","10.1","244","4:54","232","0.0","231","308","11,880","-15","No","00:01:12.3","15","01:09:42","01:18:44","187","213"
Running,2025-09-26 16:19:21,false,"4km + 5x20"/40" + 1km","6.33","293","00:30:07","149","165","3.4","169","189","4:46","2:58","25","20","1.24","8.6","10.6","246","4:45","248","0.0","245","347","5,050","-7","No","00:00:18.2","16","00:30:04","00:30:58","197","212"
Treadmill Running,2025-09-24 15:47:31,false,"Bieg na bieżni","7.00","346","00:35:00","156","177","3.5","165","173","5:00","3:06","--","--","1.68","7.4","12.4","222","--","295","0.0","295","336","5,774","-9","No","00:02:30.7","10","00:34:58","00:35:00","--","--"
Running,2025-09-21 13:44:49,false,"4km + 2x7x400m p.1:30'/3' + 2km","14.13","734","01:16:11","153","178","4.6","146","237","5:23","3:05","51","42","1.24","8.2","9.8","237","5:22","246","0.0","207","400","11,616","-17","No","00:00:05.5","35","01:10:36","01:27:28","194","208"
Running,2025-09-20 12:35:45,false,"Easy Run","12.10","592","00:59:10","155","173","4.5","170","181","4:53","4:23","35","33","1.20","8.6","10.4","247","4:53","236","0.0","235","311","10,012","-14","No","00:00:27.3","13","00:59:08","00:59:10","197","208"
Running,2025-09-18 06:53:21,false,"3km + 8x1km p.1:40' + 2km","15.07","703","01:12:57","151","173","4.2","163","181","4:50","3:29","48","27","1.26","8.2","10.0","237","4:49","245","0.0","230","360","12,060","--","No","00:00:11.3","22","01:11:55","01:22:08","188","206"
Running,2025-09-16 16:32:02,false,"Easy Run","12.15","570","01:00:21","146","158","3.9","170","179","4:58","4:19","38","29","1.18","8.7","10.3","249","4:58","234","0.0","233","282","10,176","-13","No","00:00:43.9","13","01:00:18","01:00:21","189","208"
Running,2025-09-14 10:28:25,false,"4km + 2x8x300m p.1:30'/2' + 2km","14.61","671","01:14:27","139","170","3.8","156","186","5:06","3:10","39","23","1.22","8.3","9.8","239","5:02","227","0.0","209","343","12,134","-21","No","00:00:05.3","39","01:13:12","01:25:59","193","207"
Running,2025-09-13 09:18:01,false,"Easy Run","12.23","586","00:59:13","155","163","4.3","171","177","4:51","4:25","18","12","1.21","8.5","10.3","245","4:51","231","0.0","230","264","10,014","-14","No","00:01:05.3","13","00:59:10","00:59:55","84","96"
Running,2025-09-11 16:33:05,false,"3km + 4x1.5km / 2’ + 2km","12.56","583","00:58:58","153","177","4.4","164","180","4:42","3:20","57","36","1.27","8.2","10.3","238","4:41","246","0.0","236","358","9,782","-15","No","00:00:15.6","18","00:58:37","01:11:00","188","206"
Running,2025-09-09 15:51:23,false,"Easy Run","12.16","602","01:00:05","156","167","4.4","169","177","4:56","3:56","37","34","1.19","8.7","10.4","248","4:57","236","0.0","234","301","10,128","-12","No","00:00:47.4","13","01:00:01","01:00:57","195","207"
Running,2025-09-06 19:59:23,false,"Warszawa Bieganie","3.02","153","00:16:35","146","153","2.4","166","174","5:29","4:59","11","7","1.10","9.4","10.3","263","5:27","216","0.0","215","274","2,732","-3","No","00:00:06.4","4","00:16:33","00:16:38","82","88"
Running,2025-09-06 19:30:45,false,"Praska Piątka l","5.06","205","00:19:33","159","170","3.3","174","196","3:52","3:13","16","17","1.48","7.4","10.9","219","3:53","296","0.0","294","375","3,398","-4","No","00:00:11.2","6","00:19:32","00:19:33","79","93"
Running,2025-09-06 19:02:57,false,"Warszawa Bieganie","3.03","148","00:16:51","136","151","2.4","150","190","5:34","2:55","13","12","1.16","8.9","10.0","253","5:32","217","0.0","199","403","2,616","-3","No","00:00:20.6","7","00:16:37","00:17:11","82","93"
Running,2025-09-04 17:51:45,false,"Easy Run","6.21","292","00:30:00","149","159","3.4","170","177","4:50","4:26","16","12","1.22","8.6","10.5","247","4:50","233","0.0","233","282","5,062","-7","No","00:00:57.3","7","00:29:58","00:30:00","195","206"
Running,2025-09-02 16:30:19,false,"4km + 10x400m / 2’ + 2km","13.41","661","01:07:15","157","176","4.6","157","187","5:01","3:15","44","24","1.24","8.6","10.4","247","4:59","239","0.0","222","376","10,810","-17","No","00:00:04.9","27","01:05:59","01:19:30","193","206"
